date,ticker,action,shares,market_price,executed_price,total
2021-09-01,LRCX,buy,72.0,57.04438400268555,57.91027374398741,4169.539709567093
2021-09-01,MU,buy,2.7277940083922085,71.92838287353516,72.2346514792178,197.0412495033097
2021-10-01,LRCX,sell,14.0,54.319393157958984,54.207064580450194,758.8989041263027
2021-10-01,MSFT,sell,2.0,279.2174377441406,279.0693983409163,558.1387966818326
2021-10-01,GOOG,sell,2.0,135.44662475585938,134.5282597624821,269.0565195249642
2021-10-01,NFLX,sell,58.0,61.314998626708984,60.84549081100749,3529.038467038434
2021-10-01,NVDA,buy,9.0,20.69936180114746,20.790940744641052,187.11846670176948
2021-10-01,MU,buy,32.27220599160779,69.36153411865234,70.18703860241366,2265.0905677180217
2021-10-01,ADBE,buy,4.0,577.469970703125,577.6591075142926,2310.6364300571704
2021-10-01,META,buy,1.0319495577302802,340.630615234375,341.3802741186393,352.28722289457164
2021-12-01,NVDA,sell,665.0,31.374223709106445,31.21611866004451,20758.7189089296
2021-12-01,LRCX,sell,173.0,66.12276458740234,66.1147775107116,11437.856509353107
2021-12-01,MU,sell,126.0,83.19672393798828,83.13371349723401,10474.847900651486
2021-12-01,ADBE,sell,13.0,657.4099731445312,656.9336649392735,8540.137644210556
2021-12-01,MSFT,sell,27.0,319.3797607421875,318.65203372474116,8603.60491056801
2021-12-01,GOOG,sell,34.0,140.56375122070312,139.71058316526245,4750.159827618923
2021-12-01,META,sell,3.031949557730286,308.4454040527344,307.51124742703985,932.358590633502
2021-12-01,NFLX,sell,65.0,61.777000427246094,61.14399294071198,3974.359541146279
2021-12-01,BX,sell,70.0,120.15164947509766,119.7466225122602,8382.263575858215
2021-12-01,TTD,sell,87.0,95.22000122070312,95.13670538288949,8276.893368311385
2021-12-01,DOCS,buy,44.4307913444739,64.76000213623047,65.41583107197197,2906.477140984139
2021-12-01,ALSN,buy,312.6341628516157,32.85570526123047,33.81989070079321,10573.253216975629
2021-12-01,ATO,buy,133.0,80.97695922851562,81.74562400060084,10872.167992079912
2021-12-01,CMS,buy,207.0,52.08153533935547,52.236543781178916,10812.964562704035
2021-12-01,NEM,buy,228.0,47.247154235839844,48.107931036998174,10968.608276435583
2021-12-01,ED,buy,159.0,67.8527603149414,68.78306737029402,10936.50771187675
2021-12-01,NEE,buy,137.0,78.81830596923828,79.16058746648461,10845.000482908392
2021-12-01,AEM,buy,248.0,43.43556594848633,44.249310315426804,10973.828958225848
2021-12-01,HRL,buy,194.431054868039,36.6107292175293,37.24915466825095,7242.392435090773
2022-01-01,ATO,sell,133.0,94.86698150634766,94.32024071009435,12544.592014442549
2022-01-01,CMS,sell,207.0,57.4221076965332,57.26474206879597,11853.801608240765
2022-01-01,NEM,sell,228.0,54.93095397949219,54.38933317091262,12400.767962968077
2022-01-01,ED,sell,159.0,74.27761840820312,73.619786429554,11705.546042299085
2022-01-01,NEE,sell,137.0,83.77140045166016,83.28237306759786,11409.685110260907
2022-01-01,AEM,sell,248.0,48.00678634643555,47.57643251261592,11798.95526312875
2022-01-01,HRL,sell,194.431054868039,42.48619842529297,41.70111576347252,8107.991927066172
2022-01-01,NVDA,buy,680.0,29.354137420654297,29.604509213463725,20131.066265155332
2022-01-01,LRCX,buy,250.0,68.71591186523438,69.66591039089575,17416.477597723937
2022-01-01,MU,buy,165.0,91.1102523803711,91.8093737729928,15148.546672543813
2022-01-01,ADBE,buy,36.0,567.0599975585938,567.7873461575168,20440.344461670604
