date,Original (Quarterly),Buy & Hold,Compounders,True Buffett,Market Regime,Earnings Growth,SPY_Benchmark
2020-02-17,69705.86585322754,171042.1237530033,35773.35404622188,139122.40795502003,15122.805847145166,27306.858004779086,207646.47504339943
2020-02-18,70983.85845284633,170184.75888483925,36042.34090577852,138189.6800459319,15190.483964621559,27194.74248430179,207111.42519164886
2020-02-19,75483.62423910653,170308.22695200844,37556.32065065576,138604.08835205372,16138.754037853276,27381.52067872928,208101.59822612774
2020-02-20,77140.87259497201,170127.0383953373,37844.197173673645,139695.79406341846,16275.333578606533,27559.870731562838,207246.67783018143
2020-02-21,76736.29083852941,169896.62910883827,38029.724448054934,138239.3492506438,16522.277678722745,27242.962503642306,205112.4391255588
2020-02-24,74418.39009157698,165988.96140711708,36698.376633655535,134015.03319153126,13417.260186319632,26393.253968924746,198309.7824138796
2020-02-25,72219.86773840468,159981.3860439579,35679.63698960494,130624.71899017628,13066.022849207053,25768.061149806246,192300.6365251768
2020-02-26,68162.44135252516,156817.08575861854,35855.32605839919,128741.89133056934,12909.801905579488,25831.730714053378,191593.25887576237
2020-02-27,64808.140676320305,152641.07140009804,33715.735761790136,124136.06515106495,12319.147715545814,24752.50502893375,182988.46266111563
2020-02-28,64282.99610448311,148226.23548930092,33660.11956112147,123168.1831015044,12154.805316973492,24803.12411424564,182219.57302116457
2020-03-02,64584.279167969216,153898.92938273354,34052.77434259295,125853.47499832447,12179.461486328391,25280.102296084628,190110.92846645057
2020-03-03,63529.87721904038,151014.6079944889,33688.91007715106,123075.94443878467,12006.29412348982,24818.877052516207,184667.57818300996
2020-03-04,64773.590602715005,158122.18965571327,34381.96057420611,125643.00545105274,12241.629979194995,25264.62424680637,192429.7441097097
2020-03-05,63463.882272560586,152666.46370737953,33132.388091143366,119830.03393158253,11824.800989339623,24281.016525477633,186033.0501487615
2020-03-06,62216.06013663529,151688.30671351356,32857.5717726314,120088.96660599048,11753.833792258041,24042.848714083895,182957.67594057732
2020-03-09,57292.921968545554,143676.26470988197,29027.44841722172,113865.99242004688,10786.779098934117,21664.324897498354,168669.71871015316
2020-03-10,58449.55792149508,146258.93091624184,30391.351769005472,116936.92816147144,11453.30616670601,22428.160816401705,177397.50818060312
2020-03-11,56610.62905796969,142249.70336192055,29034.689185654337,111648.58969101246,10791.85709184991,21407.07884141849,168749.6248956621
2020-03-12,51625.66926180343,128336.53825037881,26000.327416506538,99129.04719528492,9942.526099171786,18889.944826812014,152604.18170924677
2020-03-13,52730.151318421165,134230.24653475685,27673.067000475654,107182.55875381763,10452.622905163193,20339.545612544283,165649.71143850594
2020-03-16,49981.06797025901,125088.63784640237,25456.03777604622,98921.03025421436,9461.084000468798,18702.585793704257,147523.74807326953
2020-03-17,49995.069258673015,130226.4813579838,26500.818372779315,106248.35128006275,9751.846970683115,19227.475746363863,155488.83392479477
2020-03-18,46993.00678812484,124871.02234118387,23976.915735331306,97319.27088531788,8578.202679753502,17596.247297496066,147615.98533380445
2020-03-19,47770.70347773055,122875.24876444742,25102.549217310676,97507.42518219288,8930.484247111784,18418.045372218356,147929.63913170388
2020-03-20,47790.849657883446,118111.34458582803,24756.721058455238,92567.3675421172,8741.010544941426,18047.458093852267,141554.74987069782
2020-03-23,41489.63420424928,110956.02556841775,23772.97077692337,87600.6667746001,8581.75544297121,15663.801727566866,137935.45644949022
2020-03-24,45711.41433272829,120726.23397295877,25688.75123545262,96457.9007376128,9423.496606758135,18075.779683375913,150432.83712022286
2020-03-25,49187.80313811769,130251.31732981607,26004.99816605183,98463.20380386646,7773.444053377039,19279.95572737272,152684.86626826233
2020-03-26,50506.376151423356,134603.2153572361,27158.213047948804,105248.7377928191,8214.603735355817,20671.314344183764,161600.06964394532
2020-03-27,47926.625411372086,133388.94478075905,27809.78045921165,101752.61131653126,8466.508970411898,19413.17602978799,156786.75126357673
2020-03-30,49167.61318145265,137058.4661106388,26479.26516665442,103850.20452102955,8047.818134919411,19667.908862764827,161878.46107364335
2020-03-31,48751.5033258008,135381.41649287147,26414.464592828583,102542.60621628101,7910.963708998458,19178.621460576825,159465.63634594606
2020-04-01,45749.59189925661,132329.23479693336,25262.1435259722,98905.68984207447,7455.617388035485,17627.7106974577,152288.9097137941
2020-04-02,45116.78617797365,134477.36142390175,25580.736144437622,99172.26469406422,7302.423254068231,17272.904019955393,155803.01005228417
2020-04-03,44345.33095489015,134128.75613253517,25346.428800477814,98532.80984100635,7082.230042522407,17130.28962651763,153551.02187127137
2020-04-06,46901.387465815445,140043.42961543007,26492.044076337646,103676.50057968433,7666.489942173929,19214.781955946917,163864.47083403746
2020-04-07,48060.773990015885,140032.90994303627,26405.998416795563,105950.31537613209,7898.476239603761,19952.250315639732,164031.47291823494
2020-04-08,49807.19383941164,144275.58717005653,27309.112573518585,109325.10531601246,8182.424479478298,21311.62711316451,169537.84073044208
2020-04-09,52059.975509028336,146093.25858729286,27927.70852555258,112502.11080917652,8461.90376732867,21893.738525999997,172117.69826760684
2020-04-10,52059.975509028336,146093.25858729286,27927.70852555258,112502.11080917652,8461.90376732867,21893.738525999997,172117.69826760684
2020-04-13,50847.2602952527,144348.99604456825,27431.12550105078,109430.48503479298,8174.578400052729,21218.713759893548,170546.25433354327
2020-04-14,52393.68500838747,146335.36922495766,27807.086822404694,112847.17387756641,8317.155975457863,22255.39750010071,175576.15514212998
2020-04-15,49741.48080382814,143486.44706004066,27169.484281434845,109512.96423324879,8092.63828782342,21320.157064879735,171845.49285893515
2020-04-16,49027.5306657361,143229.4573959629,26681.195453603614,109624.01352295215,7802.042066722439,20870.83118060384,172674.5425775429
2020-04-17,51337.76304183473,148009.42155878944,27272.73945577692,113222.68089279468,8110.992178182453,21809.50578089003,177339.37596976632
2020-04-20,50035.81973968019,144129.4438576023,27007.659791036054,110721.52203354175,8028.99384696597,21278.143865877722,174215.0051976915
2020-04-21,48661.94349990358,140680.2541336338,26508.29877094786,107796.59877380665,7813.8229627796645,20743.689341439156,168925.28126424243
2020-04-22,48907.895766596695,142092.46792262,26172.952481052067,108164.5343855315,7631.233831792889,21019.15102627643,172674.5425775429
2020-04-23,49217.7741082715,141705.4391083042,26407.4865580554,108455.76277527149,7771.705643195284,21132.687008393204,172662.17053549024
