date,cash,positions_value,total_value
2015-10-23,64722.87141593905,39288.93405532837,104011.80547126742
2015-10-26,64722.87141593905,39270.470111846924,103993.34152778597
2015-10-27,64722.87141593905,38415.300075531006,103138.17149147006
2015-10-28,64722.87141593905,38901.33257675171,103624.20399269076
2015-10-29,64722.87141593905,39399.669662475586,104122.54107841464
2015-10-30,64722.87141593905,39645.76700592041,104368.63842185946
2015-11-02,64722.87141593905,40340.96613693237,105063.83755287142
2015-11-03,64722.87141593905,40470.17699432373,105193.04841026278
2015-11-04,64722.87141593905,40777.805740356445,105500.6771562955
2015-11-05,64722.87141593905,41030.04830932617,105752.91972526522
2015-11-06,64722.87141593905,40943.91339111328,105666.78480705233
2015-11-09,64722.87141593905,40574.767375946045,105297.6387918851
2015-11-10,64722.87141593905,40297.90998458862,105020.78140052767
2015-11-11,64722.87141593905,40710.11497879028,105432.98639472933
2015-11-12,64722.87141593905,40014.904541015625,104737.77595695468
2015-11-13,64722.87141593905,39885.71629714966,104608.58771308871
2015-11-16,64722.87141593905,40347.14245605469,105070.01387199374
2015-11-17,64722.87141593905,40057.96634674072,104780.83776267977
2015-11-18,64722.87141593905,41042.347240448,105765.21865638705
2015-11-19,64722.87141593905,41276.1343460083,105999.00576194735
2015-11-20,64722.87141593905,41596.05919647217,106318.93061241122
2015-11-23,64722.87141593905,41534.52214050293,106257.39355644198
2015-11-24,64722.87141593905,41664.3690032959,106387.24041923495
2015-11-25,64722.87141593905,41287.23193359375,106010.1033495328
2015-11-26,64722.87141593905,41287.23193359375,106010.1033495328
2015-11-27,64722.87141593905,41633.45066070557,106356.32207664462
2015-11-30,64722.87141593905,41478.89286804199,106201.76428398104
2015-12-01,64722.87141593905,41794.21021270752,106517.08162864657
2015-12-02,64722.87141593905,41219.22740936279,105942.09882530184
2015-12-03,64722.87141593905,40811.16917037964,105534.04058631869
2015-12-04,64722.87141593905,41058.47633743286,105781.34775337191
2015-12-07,64722.87141593905,40959.55347061157,105682.42488655062
2015-12-08,64722.87141593905,40260.92839050293,104983.79980644198
2015-12-09,64722.87141593905,39735.40702056885,104458.2784365079
2015-12-10,64722.87141593905,39611.753437042236,104334.62485298129
2015-12-11,64722.87141593905,38950.22301864624,103673.09443458529
2015-12-14,64722.87141593905,38746.18683242798,103469.05824836703
2015-12-15,64722.87141593905,39117.141929626465,103840.01334556552
2015-12-16,64722.87141593905,39685.954067230225,104408.82548316928
2015-12-17,64722.87141593905,39191.34538650513,103914.21680244418
2015-12-18,64722.87141593905,38795.656745910645,103518.5281618497
2015-12-21,64722.87141593905,39327.35443496704,104050.22585090609
2015-12-22,64722.87141593905,39809.599170684814,104532.47058662387
2015-12-23,64722.87141593905,40341.299686431885,105064.17110237094
2015-12-24,64722.87141593905,40366.03888320923,105088.91029914828
2015-12-25,64722.87141593905,40366.03888320923,105088.91029914828
2015-12-28,32377.65905613466,72534.35916137695,104912.01821751162
2015-12-29,32377.65905613466,73029.81039428711,105407.46945042178
2015-12-30,32377.65905613466,72673.15670013428,105050.81575626894
2015-12-31,32377.65905613466,71811.95461273193,104189.6136688666
2016-01-01,32377.65905613466,71811.95461273193,104189.6136688666
2016-01-04,32377.65905613466,70751.72229766846,103129.38135380312
2016-01-05,32377.65905613466,70568.845703125,102946.50475925967
2016-01-06,32377.65905613466,69661.82147979736,102039.48053593203
2016-01-07,32377.65905613466,66641.75219726562,99019.41125340029
2016-01-08,32377.65905613466,65822.76142883301,98200.42048496768
2016-01-11,32377.65905613466,65636.78858947754,98014.4476456122
2016-01-12,32377.65905613466,66704.33219909668,99081.99125523135
2016-01-13,32377.65905613466,65923.11196899414,98300.77102512881
2016-01-14,32377.65905613466,66595.05365753174,98972.7127136664
2016-01-15,32377.65905613466,63837.113830566406,96214.77288670107
2016-01-18,32377.65905613466,63837.113830566406,96214.77288670107
2016-01-19,32377.65905613466,64843.13700866699,97220.79606480166
2016-01-20,32377.65905613466,64957.60046386719,97335.25952000185
2016-01-21,32377.65905613466,66003.36580657959,98381.02486271426
2016-01-22,32377.65905613466,66386.68930053711,98764.34835667178
2016-01-25,32377.65905613466,64695.55438232422,97073.21343845889
2016-01-26,32377.65905613466,66294.36693572998,98672.02599186465
2016-01-27,32377.65905613466,65619.78214263916,97997.44119877383
2016-01-28,32377.65905613466,65949.90631103516,98327.56536716982
2016-01-29,32377.65905613466,67623.19999694824,100000.85905308291
2016-02-01,32377.65905613466,68016.21936035156,100393.87841648623
2016-02-02,32377.65905613466,66307.99992370605,98685.65897984072
2016-02-03,32377.65905613466,65818.60234832764,98196.2614044623
2016-02-04,32377.65905613466,66352.39435577393,98730.0534119086
2016-02-05,32377.65905613466,64515.396003723145,96893.05505985781
2016-02-08,32377.65905613466,62536.04267120361,94913.70172733828
2016-02-09,32377.65905613466,61983.91876220703,94361.5778183417
2016-02-10,32377.65905613466,62606.782958984375,94984.44201511904
2016-02-11,32377.65905613466,62131.063972473145,94508.72302860781
2016-02-12,32377.65905613466,63638.39093017578,96016.04998631045
2016-02-15,32377.65905613466,63638.39093017578,96016.04998631045
2016-02-16,32377.65905613466,65284.60145568848,97662.26051182314
2016-02-17,32377.65905613466,66806.70742034912,99184.36647648379
2016-02-18,32377.65905613466,66963.12895202637,99340.78800816103
2016-02-19,32377.65905613466,66943.78917694092,99321.44823307559
2016-02-22,32377.65905613466,67977.8511352539,100355.51019138857
2016-02-23,32377.65905613466,67252.92224884033,99630.581304975
2016-02-24,32377.65905613466,67293.10070800781,99670.75976414248
2016-02-25,32377.65905613466,67237.00930023193,99614.6683563666
2016-02-26,32377.65905613466,67605.4213256836,99983.08038181826
2016-02-29,32377.65905613466,67722.61525726318,100100.27431339785
2016-03-01,32377.65905613466,70678.88683319092,103056.54588932559
2016-03-02,32377.65905613466,70498.10773468018,102875.76679081484
2016-03-03,32377.65905613466,71651.49069213867,104029.14974827334
2016-03-04,32377.65905613466,72250.90780639648,104628.56686253115
2016-03-07,32377.65905613466,72549.07158660889,104926.73064274355
2016-03-08,32377.65905613466,71200.38312530518,103578.04218143984
2016-03-09,32377.65905613466,71054.2419052124,103431.90096134707
2016-03-10,32377.65905613466,71019.55395507812,103397.21301121279
2016-03-11,32377.65905613466,71922.93746185303,104300.5965179877
2016-03-14,32377.65905613466,71619.4906463623,103997.14970249697
2016-03-15,32377.65905613466,71838.55396270752,104216.21301884219
2016-03-16,32377.65905613466,72231.09803771973,104608.7570938544
2016-03-17,32377.65905613466,73024.5782623291,105402.23731846377
